# Dataset_name                                                                                                                           xsection_in_pb (set it to -1 for data)
/Jet/ferencek-Run2011A-May10ReReco-v1_EDMTuple_V00-00-01-6d363a44e73023f68a8f3b11d67becad/USER                                                       -1
/Jet/ferencek-Run2011A-PromptReco-v4_EDMTuple_V00-00-01-6d363a44e73023f68a8f3b11d67becad/USER                                                        -1
/Jet/ferencek-Run2011A-05Aug2011-v1_EDMTuple_V00-00-01-6d363a44e73023f68a8f3b11d67becad/USER                                                         -1
/Jet/ferencek-Run2011A-PromptReco-v6_EDMTuple_V00-00-01-6d363a44e73023f68a8f3b11d67becad/USER                                                        -1
/Jet/elhughes-Run2011B-PromptReco-v1_EDMTuple_V00-00-02_175832-178208-4e1d2724af09081fe804a866fd0cd17b/USER                                          -1
/HT/ferencek-Run2011A-May10ReReco-v1_EDMTuple_V00-00-03-117fa890f807f13ca93974607465b3d6/USER                                                        -1
/HT/elhughes-Run2011A-PromptReco-v4_EDMTuple_V00-00-03-117fa890f807f13ca93974607465b3d6/USER                                                         -1
/HT/ferencek-Run2011A-05Aug2011-v1_EDMTuple_V00-00-03-117fa890f807f13ca93974607465b3d6/USER                                                          -1
/HT/ferencek-Run2011A-PromptReco-v6_EDMTuple_V00-00-03-117fa890f807f13ca93974607465b3d6/USER                                                         -1
/HT/elhughes-Run2011B-PromptReco-v1_EDMTuple_V00-00-03-117fa890f807f13ca93974607465b3d6/USER                                                         -1
/HT/ferencek-Run2011A-May10ReReco-v1_EDMTuple_V00-00-03_skim-v2-79baaeaf890f1c6b7f8d6724adf149eb/USER                                                -1
/HT/ferencek-Run2011A-PromptReco-v4_EDMTuple_V00-00-03_skim-v2-3521f2f8901e22e0cab7d50644310a87/USER                                                 -1
/HT/ferencek-Run2011A-05Aug2011-v1_EDMTuple_V00-00-03_skim-v2-0446c00d4f6e181f5fbc056d0542ac9f/USER                                                  -1
/HT/ferencek-Run2011A-PromptReco-v6_EDMTuple_V00-00-03_skim-v2-e65fb52246abea0a0ca7e62a710a38fd/USER                                                 -1
/HT/ferencek-Run2011B-PromptReco-v1_EDMTuple_V00-00-03_skim-v2-aa62fe1b6f1517d8f16f8f4d6ba2a50d/USER                                                 -1
/QCD_Pt-15to30_TuneZ2_7TeV_pythia6/ferencek-Summer11-PU_S4_START42_V11-v1_EDMTuple_V00-00-02-5e3805279b9fc2f6611c5f41faa483b3/USER             995520000.0
/QCD_Pt-30to50_TuneZ2_7TeV_pythia6/ferencek-Summer11-PU_S4_START42_V11-v1_EDMTuple_V00-00-02-5e3805279b9fc2f6611c5f41faa483b3/USER              64782000.0
/QCD_Pt-50to80_TuneZ2_7TeV_pythia6/ferencek-Summer11-PU_S4_START42_V11-v1_EDMTuple_V00-00-02-5e3805279b9fc2f6611c5f41faa483b3/USER               7759200.0
/QCD_Pt-80to120_TuneZ2_7TeV_pythia6/ferencek-Summer11-PU_S4_START42_V11-v1_EDMTuple_V00-00-02-5e3805279b9fc2f6611c5f41faa483b3/USER               956480.0
/QCD_Pt-120to170_TuneZ2_7TeV_pythia6/ferencek-Summer11-PU_S4_START42_V11-v1_EDMTuple_V00-00-02-5e3805279b9fc2f6611c5f41faa483b3/USER              140300.0
